timestep,time_elapsed,ego_velocity,target_speed,distance_to_lead,lead_speed
0,0.0,9.859022455380348e-08,10,20.0,6.845970501181704e-08
1,0.1,7.795334161896348e-08,10,20.0,1.511520010430846e-07
2,0.2,8.031657299308766e-08,10,20.0,6.0146913220458874e-09
3,0.30000000000000004,1.1459137160392961e-07,10,20.0,2.3749739871967388e-07
4,0.4,3.109453669955793e-07,10,20.0,1.9006246090864684e-07
5,0.5,5.634943476477813e-08,10,20.0,2.1584348108214526e-07
6,0.6000000000000001,1.7970171829784184e-07,10,20.0,2.5547017470249434e-07
7,0.7000000000000001,1.1437891781871212e-08,10,20.0,8.572310465304503e-09
8,0.8,1.2080422209390362e-07,10,20.0,2.984675001376167e-08
9,0.9,1.180629424674986e-08,10,20.0,2.4005520807999375e-08
10,1.0,4.792249491327373e-08,10,20.0,1.999848082302296e-08
11,1.1,6.244879884063507e-08,10,20.0,3.7161898660119966e-08
12,1.2000000000000002,7.301844942006352e-08,10,20.0,3.442394274426913e-08
13,1.3,3.5093935623346513e-09,10,20.0,5.454759114574798e-09
14,1.4000000000000001,8.946735839898029e-08,10,20.0,6.322013017665076e-09
15,1.5,3.7758091141029985e-08,10,20.01580810547102,0.25959864874080374
16,1.6,2.0333093551307268e-11,10,20.04913330109707,0.35205296798429486
17,1.7000000000000002,6.9866422068655495e-09,10,20.093505860881447,0.4643000343112731
18,1.8,3.236105777574653e-08,10,20.14672851868176,0.5968840055605461
19,1.9000000000000001,3.7009017424414864e-08,10,20.20935059319713,0.6634593801182852
20,2.0,7.051013672120811e-09,10,20.28076172462795,0.7653701532037671
21,2.1,1.8543324874338727,10,20.2851562572325,0.8767809181851726
22,2.2,3.828359864477906,10,20.071899414071563,0.9913581017788319
23,2.3000000000000003,4.891022718808481,10,19.72753907861053,1.1106382834357522
24,2.4000000000000004,5.123287502258219,10,19.329711997921326,1.2309409324787848
25,2.5,3.42799519579264,10,19.040588547639146,1.342318711908068
26,2.6,2.712710759129089,10,18.897094950715314,1.4506691822019966
27,2.7,2.9660050668606215,10,18.759460734743914,1.5498794941234222
28,2.8000000000000003,3.3236657670332086,10,18.599792845883247,1.6386468036975086
29,2.9000000000000004,3.7352502433210852,10,18.40942430201571,1.7166225413091558
30,3.0,4.139210309192293,10,18.185425426843953,1.7874254350316643
31,3.1,4.201507374414723,10,17.941407059115615,1.8485016571286057
32,3.2,3.8643977057764674,10,17.72265725038493,1.896298640782019
33,3.3000000000000003,3.7456424675924507,10,17.534363976016536,1.9329751539911018
34,3.4000000000000004,3.8657874492469864,10,17.34637589653222,1.9595045430886304
35,3.5,3.833458027775107,10,17.15057534446825,1.9764336224162873
36,3.6,3.477830091093608,10,16.9804705789469,1.9841445784916103
37,3.7,3.354686030186966,10,16.837648504229687,1.982969529359936
38,3.8000000000000003,3.474319602239275,10,16.691713659097683,1.9732196119004821
39,3.9000000000000004,3.7753893290749767,10,16.52148686956588,1.9552050098660252
40,4.0,3.825118595351825,10,16.325869517064117,1.9140607582459832
41,4.1000000000000005,3.499151454151269,10,16.144046105120758,1.8450677054843505
42,4.2,3.3854695412568554,10,15.97919045898215,1.7499419938679817
43,4.3,3.5086770187951584,10,15.77582172182865,0.6589013342235767
44,4.4,3.4976427347873793,10,15.42621308596897,7.900991279727874e-05
45,4.5,3.1646357863150603,10,15.09369433277692,0.0005031693892533207
46,4.6000000000000005,3.049689297603031,10,14.786932425299797,0.0003631408367840223
47,4.7,3.171521810687841,10,14.476996774208818,0.00018683815922014696
48,4.800000000000001,3.1649991355726113,10,14.155769740348598,0.0
49,4.9,2.8437093055578133,10,13.855599853432068,0.0
50,5.0,2.4361851120390097,10,13.592966527840261,0.0
51,5.1000000000000005,2.2923777255689806,10,13.360362456134393,0.0
52,5.2,2.3980661503232645,10,13.126781888826756,0.0
53,5.300000000000001,2.6921377918632747,10,12.871411922730212,0.0
54,5.4,2.7604785470788737,10,12.593520176408777,0.0
55,5.5,2.4764300550243252,10,12.331497579644655,0.0
56,5.6000000000000005,1.9072152392464108,10,12.106950459188154,0.0
57,5.7,0.74588216918086,10,12.01411648131955,0.0
58,5.800000000000001,0.9591430158916529,10,11.928057000352986,0.0
59,5.9,1.3173908071913685,10,11.81190777059114,0.0
60,6.0,1.6877179082693345,10,11.660175682633204,0.0
61,6.1000000000000005,2.120327247921017,10,11.468038104894108,0.0
62,6.2,2.2290094283489994,10,11.24629891682915,0.0
63,6.300000000000001,1.1616818973759007,10,11.056846913698422,0.0
64,6.4,0.15981786919311294,10,11.030174641728227,0.0
65,6.5,0.4514464103404727,10,10.995995659680764,0.0
66,6.6000000000000005,0.7866490287311465,10,10.929163032946889,0.0
67,6.7,1.1870813345864442,10,10.825709809888956,0.0
68,6.800000000000001,1.5910752936156733,10,10.683561004035838,0.0
69,6.9,1.9938346222417602,10,10.501556813901697,0.0
70,7.0,2.0899645540004306,10,10.292270445396264,0.0
